id_camion,plaque d'immatriculation
119,3549464163352958
120,30365224805870
121,3551237054873844
122,3577179081671306
123,6384967735877915
124,337941218759446
125,3547115672652450
126,4913618793156032
127,3529332790479946
128,3532817854041074
129,3538725929361191
130,4175008200149866
131,3571934312409900
132,3565981857314175
133,36494620173057
134,3559794461614379
135,67614668029965507
136,3565174189342326
137,3550742643493740
138,3586464430774657
139,5442264801766541
140,5048370744340407
141,5100149250466805
142,3563542773974120
143,30184662672209
144,3560659443450340
145,676297387110749371
146,3572266039617872
147,3546433439168277
148,4163275221816864
149,3588923513342268
150,5602229578711414
151,5108753328557776
152,4844672315886034
153,30337949280077
154,337941970466552
155,6304383234900874894
156,3578941331722752
157,3546066168788186
158,3563853890226116
159,3548869418135936
160,4508524904053400
161,3578954764977520
162,3545455431868415
163,3582327747652201
164,201655284264148
165,3543202589852979
166,67094357780133351
167,3583133818032573
168,5100144555288947
169,3547306490033839
170,56022460163009584
171,374622818604380
172,201814998002266
173,4913642936581724
174,4026793968807679
175,5002350143558712
176,3569795856237724
177,3544129423983778
178,3585704229795491
179,3565764564035360
180,6763295216056952
181,30244050620911
182,30021100961085
183,30163236810008
184,3572390330737658
185,3542399795175467
186,3572204095840708
187,3579225498737988
188,3562804582608427
189,5020219731430334862
190,0604450344117868865
191,6706694165944576790
192,201773024658576
193,6398319165726879
194,30137285296111
195,3572064694468032
196,372301497872855
197,3533086323843077
198,3539692404271916
199,3572349721891110
200,3530113500248731
201,3587569419768956
202,30447325253075
203,5100139791847381
204,3587312592535029
205,3538004371943645
206,6767159070220565
207,5893690639466295634
208,3550316626324980
209,3529379549731481
210,3532075265862345
211,36299932220599
212,4578608971793
213,3553515711074486
214,3561924316488358
215,677141874846280041
216,30380715836821
217,3589286606410098
218,6373815544648832
219,56022144200432617
220,3529501659965167
221,3556716869246689
222,6390408930899984
223,3580638719937442
224,201711479302654
225,5602247031607854
226,5387062653282741
227,30297353161264
228,6761999624400950672
229,6763689159103443
230,3537433443164404
231,67069454301110025
232,201598251103420
233,36190671126917
234,3536402758615418
235,3530062864817229
236,3548526137219306
237,5384669420822634
238,5100140074809031
239,3549238826114967
240,3560113927100013
241,3547078314059064
242,337941565813671
243,4041371225236
244,3575023107251424
245,30032115801406
246,4175003905597915
247,490503809331131960
248,4405408768983932
249,6709165304783324640
250,6304402757066518423
251,3529496338841246
252,3551609699463142
253,3555222780168772
254,3540666146382345
255,337941612715440
256,3563263036336276
257,3575496047821151
258,5010125402988929
259,5010127520981414
260,3533415211266606
261,201481936040632
262,201752869802226
263,3583624727306603
264,201765974301454
265,4839641483085478
266,372301875336069
267,30101662664143
268,3551888442492695
269,56022387104454001
270,4041598039709
271,3537270812448103
272,5007669398293757
273,3578311109852415
274,3583718035619226
275,6333172953241579
276,3537568571944307
277,3554017379239724
278,30272113443021
279,3555684395811692
280,4913353397837338
281,67623942827689265
282,4903464428081469820
283,63046971452911015
284,3569297578513987
285,372301807832060
286,3582408184572811
287,3585193235482718
288,3578015246002913
289,3539181042552135
290,3529685843511639
291,4917411406734635
292,5602212024566043248
293,4041593978221643
294,201980208316216
295,4508283506439836
296,3573426807069917
297,3553781393387444
298,3569797080753575
299,30571410869345
300,5602230159306638820
301,3540744695936363
302,3547644764828876
303,30421902393489
304,6767347922846194962
305,3580322217150838
306,3556541165355145
307,201874507960719
308,201812479923471
309,3573846982323062
310,5602220924171023
311,4913830584245128
312,5108753430479109
313,30104594744504
314,5100148210829748
315,3534852892023378
316,4405658949484453
317,3542348449820390
318,6382876412783415
319,30573492644190
320,3572002328073661
321,3540771471267986
322,3552158098897475
323,3573249747091027
324,50387057236550768
325,3540698142770140
326,3537457463350866
327,3554382959770252
328,3560178590677878
329,3560337316241886
330,4903158878864418
331,3529475685174989
332,201885644131527
333,372301449091992
334,30340267382806
335,6771682316428449
336,3553004540127674
337,3549457283603854
338,3589051176945851
339,5100144883818399
340,3574567047941420
341,201903167008467
342,5602226475903169
343,201702383345376
344,4041375144058632
345,4405348644108926
346,3557458770257062
347,3569253139068201
348,3537075110490081
349,5602226548914201
350,5002355377209312
351,3577416268691057
352,5108755694282731
353,3528982797650005
354,3564395732951047
355,560224338475915432
356,4175007565385313
357,3530473425649268
358,3532838106157211
359,3569516658361250
360,30226649944001
361,3531548870868585
362,3543946378179396
363,201887730531438
364,3543870876385885
365,5602211934538657
366,5641825615572595
367,3575782845274572
368,503898152863670466
369,3532827380120474
370,4917829435345158
371,201645392712849
372,4508281062448514
373,4936813595858036426
374,3534923908394234
375,5602226893492314608
376,30374540484725
377,3582004597746017
378,3569016928089906
379,3546213422347553
380,5455052046513933
381,3536895178944039
382,676723072383067875
383,5602217497197341717
384,372301930761863
385,3553883604808554
386,56022131835288951
387,3536780375416462
388,3583211610965784
389,3564837288764993
390,201784181263936
391,3539660923584614
392,5511021430406352
393,3556211784958154
394,3580433938717837
395,5543271931688170
396,3556075681963009
397,3548009856662279
398,502046062549086560
399,3552091861142714
400,30536155776575
401,3579439522998298
402,5048374225600362
403,3544623531914378
404,3533601162185479
405,3574466513579089
406,3531242541970935
407,6706801384029220436
408,3580312573576262
409,3589878680690049
410,6333032269545933
411,6767076997426010
412,3531900226483082
413,6767062499176138896
414,676221204925650713
415,6759821330190468192
416,3589163909229063
417,676712301341739082
418,3579997333416206
419,5495151985401696
420,3575228857917724
421,5543438387251387
422,3539887231244371
423,6334307718992062780
424,4026434239040168
425,3536699829661434
426,3543214571934400
427,3556905007745732
428,3579027532450853
429,4905973783260892
430,3550750902975539
431,3536682912092949
432,3546886949635384
433,5108754104885597
434,30426034090804
435,677165892689693253
436,6304894369082017
437,3532869379617193
438,633414462766033161
439,4917563697873785
440,374622989734081
441,3578604658189605
442,3551517129036430
443,372677682812297
444,5460339332501075
445,5002352988506889
446,30534157098080
447,3558280800797555
448,4017951937330584
449,3572030175202539
450,676258247194673813
451,5602226859063325
452,5438265804317147
453,3567403566382524
454,5262385305781541
455,67717883336265212
456,3555505144474625
457,5413204066657493
458,56105318139380473
459,5341675106510858
460,3554732300129857
461,3568893193638521
462,5578448090051212
463,5010120260528495
464,3560269230357490
465,5443437805521141
466,3583118691553548
467,4026031081976091
468,201529013671479
469,491142600583605123
470,3571037494762763
471,201515861841413
472,3536916409602202
473,6397513189792609
474,3530820088255249
475,493638813872422467
476,3560172501973328
477,3532610168454384
478,5610105181238526
479,3567376305725585
480,5610240153360378
481,633308084294228664
482,3573198897935949
483,3538592057953011
484,3576727226180400
485,201546850721480
486,3581768216028814
487,30042872503368
488,201843825041643
489,3574234196883529
490,3532945175609392
491,3584971931539597
492,36079123479794
493,5602236762315894
494,3580237730243805
495,4936158966988710045
496,4041375519329
497,06045953570737670
498,201846606437930
499,3545977916593010
500,50209161604752935
