id,estvide,datecreation
129,true,2/20/2025
130,false,10/14/2024
131,true,12/28/2024
132,true,12/29/2024
133,false,2/15/2025
134,false,10/13/2024
135,false,7/18/2024
136,true,1/9/2025
137,true,11/30/2024
138,false,6/27/2024
139,false,4/28/2024
140,true,5/11/2024
141,false,6/9/2024
142,false,6/28/2024
143,true,5/5/2024
144,false,7/6/2024
145,false,8/31/2024
146,false,12/30/2024
147,true,8/12/2024
148,false,10/10/2024
149,false,11/21/2024
150,true,10/20/2024
151,true,6/2/2024
152,true,11/16/2024
153,true,10/7/2024
154,false,3/21/2024
155,false,6/20/2024
156,false,8/30/2024
157,false,2/13/2025
158,false,9/15/2024
159,false,6/1/2024
160,true,8/19/2024
161,false,9/17/2024
162,false,5/1/2024
163,false,5/7/2024
164,true,11/18/2024
165,true,3/5/2024
166,false,10/3/2024
167,true,2/2/2025
168,true,6/26/2024
169,true,6/2/2024
170,true,8/26/2024
171,false,11/25/2024
172,false,10/24/2024
173,true,5/29/2024
174,false,11/22/2024
175,false,8/1/2024
176,true,3/16/2024
177,false,6/26/2024
178,false,8/1/2024
179,false,4/15/2024
180,true,1/1/2025
181,false,2/23/2025
182,true,9/20/2024
183,true,6/11/2024
184,false,7/1/2024
185,false,7/29/2024
186,true,3/4/2024
187,true,4/2/2024
188,false,7/20/2024
189,false,11/13/2024
190,false,4/25/2024
191,true,2/25/2025
192,false,4/3/2024
193,true,11/26/2024
194,false,6/26/2024
195,false,2/11/2025
196,true,8/25/2024
197,false,11/27/2024
198,false,2/22/2025
199,true,2/16/2025
200,false,9/25/2024
201,false,1/25/2025
202,true,5/30/2024
203,true,10/1/2024
204,true,3/2/2025
205,false,10/20/2024
206,true,8/21/2024
207,false,7/28/2024
208,false,11/7/2024
209,false,3/17/2024
210,true,6/13/2024
211,false,1/7/2025
212,false,6/14/2024
213,true,9/8/2024
214,true,7/12/2024
215,true,11/23/2024
216,false,4/27/2024
217,true,10/19/2024
218,true,2/10/2025
219,false,7/25/2024
220,true,6/1/2024
221,false,2/10/2025
222,false,7/11/2024
223,false,10/14/2024
224,true,2/6/2025
225,true,11/15/2024
226,false,10/6/2024
227,true,1/25/2025
228,true,8/14/2024
229,true,8/9/2024
230,false,8/13/2024
231,false,10/21/2024
232,false,1/27/2025
233,false,4/7/2024
234,true,12/12/2024
235,true,12/2/2024
236,false,11/7/2024
237,true,3/15/2024
238,false,3/29/2024
239,true,9/11/2024
240,false,12/2/2024
241,false,11/2/2024
242,true,12/20/2024
243,true,3/24/2024
244,false,10/22/2024
245,false,10/6/2024
246,true,1/2/2025
247,false,12/26/2024
248,true,6/3/2024
249,false,3/26/2024
250,false,1/7/2025
251,true,2/15/2025
252,false,4/26/2024
253,true,12/19/2024
254,true,12/5/2024
255,false,11/30/2024
256,false,9/16/2024
257,false,4/16/2024
258,false,5/4/2024
259,false,6/19/2024
260,false,5/29/2024
261,false,1/18/2025
262,true,5/5/2024
263,false,11/18/2024
264,true,11/14/2024
265,true,4/18/2024
266,false,8/20/2024
267,false,8/15/2024
268,true,9/21/2024
269,true,1/27/2025
270,false,10/3/2024
271,true,8/20/2024
272,false,6/28/2024
273,true,9/14/2024
274,false,5/8/2024
275,true,11/13/2024
276,false,9/16/2024
277,false,5/11/2024
278,false,5/31/2024
279,true,7/18/2024
280,true,11/29/2024
281,false,11/4/2024
282,true,11/1/2024
283,true,1/3/2025
284,true,10/12/2024
285,false,7/30/2024
286,false,10/2/2024
287,true,2/14/2025
288,true,5/19/2024
289,false,8/28/2024
290,true,3/12/2024
291,false,7/27/2024
292,false,10/2/2024
293,false,11/12/2024
294,true,1/3/2025
295,false,3/16/2024
296,false,5/12/2024
297,false,10/28/2024
298,true,7/2/2024
299,false,1/4/2025
300,false,6/19/2024
301,true,12/12/2024
302,true,5/26/2024
303,false,6/14/2024
304,false,5/11/2024
305,false,8/20/2024
306,false,2/19/2025
307,false,8/5/2024
308,true,12/2/2024
309,true,8/24/2024
310,false,2/27/2025
311,true,6/10/2024
312,true,7/12/2024
313,false,9/12/2024
314,false,6/28/2024
315,true,5/11/2024
316,true,8/20/2024
317,false,1/2/2025
318,false,2/7/2025
319,false,5/27/2024
320,true,6/20/2024
321,true,10/7/2024
322,true,4/4/2024
323,false,2/2/2025
324,true,4/10/2024
325,false,2/10/2025
326,false,11/22/2024
327,false,9/6/2024
328,true,11/12/2024
329,true,12/12/2024
330,false,6/7/2024
331,false,11/2/2024
332,false,11/3/2024
333,true,6/13/2024
334,false,5/27/2024
335,false,5/27/2024
336,true,3/7/2024
337,false,12/29/2024
338,true,1/11/2025
339,false,12/11/2024
340,false,12/30/2024
341,false,4/29/2024
342,false,5/8/2024
343,false,8/17/2024
344,false,2/1/2025
345,false,2/4/2025
346,false,8/5/2024
347,false,7/23/2024
348,true,4/26/2024
349,false,2/17/2025
350,false,8/17/2024
351,true,9/19/2024
352,false,1/27/2025
353,true,5/10/2024
354,true,4/5/2024
355,true,5/14/2024
356,true,3/29/2024
357,false,6/13/2024
358,false,10/8/2024
359,false,2/20/2025
360,false,12/23/2024
361,true,7/9/2024
362,true,8/4/2024
363,true,9/15/2024
364,true,3/19/2024
365,false,6/16/2024
366,true,4/16/2024
367,false,10/3/2024
368,true,5/14/2024
369,true,9/27/2024
370,true,8/31/2024
371,true,9/23/2024
372,false,1/30/2025
373,true,4/23/2024
374,true,7/3/2024
375,false,2/20/2025
376,false,8/1/2024
377,false,4/19/2024
378,false,12/17/2024
379,true,10/12/2024
380,false,12/8/2024
381,false,11/11/2024
382,false,4/23/2024
383,false,11/20/2024
384,false,4/25/2024
385,true,9/28/2024
386,true,1/15/2025
387,false,6/22/2024
388,true,10/7/2024
389,true,8/17/2024
390,false,2/16/2025
391,false,10/21/2024
392,false,1/22/2025
393,true,2/9/2025
394,false,10/25/2024
395,false,2/14/2025
396,false,6/14/2024
397,true,1/22/2025
398,false,3/23/2024
399,false,6/25/2024
400,false,5/17/2024
401,true,4/17/2024
402,false,7/10/2024
403,false,9/3/2024
404,true,11/1/2024
405,true,10/28/2024
406,true,6/14/2024
407,true,12/7/2024
408,true,11/20/2024
409,false,3/31/2024
410,true,12/22/2024
411,false,10/7/2024
412,false,8/2/2024
413,false,10/28/2024
414,true,1/5/2025
415,false,8/12/2024
416,false,9/23/2024
417,false,1/21/2025
418,false,7/28/2024
419,false,3/3/2024
420,true,7/17/2024
421,true,11/5/2024
422,false,4/17/2024
423,true,4/5/2024
424,true,5/29/2024
425,false,6/12/2024
426,true,12/31/2024
427,true,5/25/2024
428,true,10/31/2024
429,false,8/28/2024
430,true,11/25/2024
431,true,5/6/2024
432,false,4/2/2024
433,false,2/26/2025
434,false,2/25/2025
435,false,6/30/2024
436,false,6/12/2024
437,true,10/7/2024
438,false,1/5/2025
439,false,3/10/2024
440,true,7/9/2024
441,true,12/26/2024
442,false,4/13/2024
443,false,4/25/2024
444,false,9/8/2024
445,true,6/30/2024
446,false,12/2/2024
447,true,9/12/2024
448,true,2/4/2025
449,false,3/12/2024
450,false,6/20/2024
451,false,12/3/2024
452,false,7/16/2024
453,true,6/21/2024
454,false,7/8/2024
455,true,3/24/2024
456,true,4/3/2024
457,false,5/9/2024
458,false,3/11/2024
459,false,8/2/2024
460,true,1/22/2025
461,true,7/30/2024
462,false,10/9/2024
463,true,11/22/2024
464,true,9/3/2024
465,false,12/11/2024
466,true,9/19/2024
467,true,12/25/2024
468,true,4/18/2024
469,false,5/19/2024
470,true,8/17/2024
471,false,2/8/2025
472,false,12/6/2024
473,true,4/30/2024
474,true,6/22/2024
475,false,9/10/2024
476,false,8/31/2024
477,false,9/20/2024
478,false,12/25/2024
479,true,11/11/2024
480,true,2/11/2025
481,true,5/11/2024
482,false,11/27/2024
483,true,2/21/2025
484,false,1/18/2025
485,true,9/6/2024
486,false,11/11/2024
487,true,1/1/2025
488,true,9/10/2024
489,true,8/13/2024
490,false,6/15/2024
491,true,8/8/2024
492,true,6/12/2024
493,true,3/4/2024
494,false,8/5/2024
495,false,5/23/2024
496,false,8/24/2024
497,true,12/28/2024
498,true,1/29/2025
499,true,6/24/2024
500,false,6/21/2024
501,false,5/12/2024
502,true,8/30/2024
503,true,8/29/2024
504,true,8/9/2024
505,false,11/23/2024
506,true,8/5/2024
507,true,8/28/2024
508,false,3/20/2024
509,false,6/24/2024
510,false,6/10/2024
511,true,7/13/2024
512,true,3/17/2024
513,false,3/16/2024
514,false,12/9/2024
515,true,3/31/2024
516,true,7/3/2024
517,false,3/10/2024
518,true,8/8/2024
519,true,2/1/2025
520,false,6/14/2024
521,false,11/21/2024
522,false,10/30/2024
523,true,6/20/2024
524,true,11/23/2024
525,false,11/20/2024
526,false,8/14/2024
527,false,1/11/2025
528,true,9/7/2024
529,true,4/5/2024
530,false,1/7/2025
531,false,11/5/2024
532,false,1/24/2025
533,true,2/14/2025
534,false,3/31/2024
535,false,7/13/2024
536,false,9/2/2024
537,false,10/2/2024
538,false,4/10/2024
539,false,5/26/2024
540,false,10/3/2024
541,false,4/16/2024
542,true,10/18/2024
543,false,4/8/2024
544,true,8/16/2024
545,true,3/19/2024
546,false,9/30/2024
547,false,9/20/2024
548,false,10/24/2024
549,false,7/25/2024
550,false,11/22/2024
551,true,6/20/2024
552,false,8/28/2024
553,true,5/23/2024
554,false,3/5/2024
555,false,6/23/2024
556,true,1/15/2025
557,true,12/7/2024
558,false,10/26/2024
559,false,11/3/2024
560,false,6/11/2024
561,false,6/16/2024
562,false,8/23/2024
563,false,10/19/2024
564,true,2/12/2025
565,false,2/27/2025
566,true,4/21/2024
567,false,11/11/2024
568,false,8/25/2024
569,true,9/5/2024
570,false,11/12/2024
571,true,9/19/2024
572,true,11/17/2024
573,false,8/10/2024
574,true,11/7/2024
575,true,7/25/2024
576,false,5/22/2024
577,true,12/6/2024
578,true,5/26/2024
579,true,4/20/2024
580,false,3/29/2024
581,false,3/2/2025
582,false,8/1/2024
583,true,10/12/2024
584,false,6/14/2024
585,true,6/17/2024
586,true,4/28/2024
587,false,5/19/2024
588,true,8/9/2024
589,true,2/25/2025
590,true,7/17/2024
591,false,4/10/2024
592,true,9/30/2024
593,false,3/10/2024
594,true,2/15/2025
595,false,5/15/2024
596,false,5/16/2024
597,false,3/29/2024
598,true,3/7/2024
599,false,7/31/2024
600,false,9/1/2024
601,false,6/1/2024
602,false,4/16/2024
603,false,6/22/2024
604,true,5/28/2024
605,false,4/29/2024
606,false,8/12/2024
607,true,12/17/2024
608,false,11/25/2024
609,false,12/18/2024
610,false,11/5/2024
611,false,9/3/2024
612,false,3/25/2024
613,false,10/23/2024
614,false,4/13/2024
615,false,1/27/2025
616,true,2/17/2025
617,false,12/28/2024
618,true,10/16/2024
619,false,3/26/2024
620,true,1/19/2025
621,false,4/18/2024
622,false,9/20/2024
623,true,9/19/2024
624,false,10/31/2024
625,false,11/7/2024
626,false,3/13/2024
627,false,3/30/2024
628,false,2/7/2025
629,true,12/31/2024
630,false,2/9/2025
631,true,1/16/2025
632,false,7/29/2024
633,false,6/26/2024
634,true,11/3/2024
635,false,11/12/2024
636,true,7/4/2024
637,false,10/14/2024
638,true,12/18/2024
639,true,3/1/2025
640,false,2/11/2025
641,true,7/4/2024
642,true,11/10/2024
643,false,12/12/2024
644,false,4/5/2024
645,false,7/12/2024
646,true,6/23/2024
647,false,1/8/2025
648,true,11/22/2024
649,false,8/25/2024
650,true,10/28/2024
651,true,2/5/2025
652,false,7/11/2024
653,false,12/15/2024
654,false,8/7/2024
655,false,7/6/2024
656,false,4/28/2024
657,true,6/22/2024
658,false,4/28/2024
659,true,2/2/2025
660,true,3/29/2024
661,false,6/15/2024
662,true,2/21/2025
663,true,5/3/2024
664,false,10/31/2024
665,false,8/8/2024
666,true,1/23/2025
667,true,2/4/2025
668,true,10/20/2024
669,false,12/17/2024
670,false,7/8/2024
671,false,12/5/2024
672,false,11/4/2024
673,true,2/2/2025
674,false,4/23/2024
675,true,4/17/2024
676,false,6/21/2024
677,true,12/31/2024
678,true,8/20/2024
679,false,10/14/2024
680,true,7/6/2024
681,true,1/18/2025
682,true,5/5/2024
683,true,11/8/2024
684,true,2/16/2025
685,true,11/26/2024
686,true,6/20/2024
687,true,9/7/2024
688,true,11/13/2024
689,true,12/30/2024
690,true,1/22/2025
691,false,2/14/2025
692,true,5/4/2024
693,true,3/20/2024
694,false,3/8/2024
695,true,1/10/2025
696,true,12/6/2024
697,false,3/28/2024
698,true,5/11/2024
699,false,5/5/2024
700,false,1/20/2025
701,false,4/26/2024
702,true,2/12/2025
703,false,11/17/2024
704,false,10/5/2024
705,false,10/13/2024
706,false,4/13/2024
707,true,12/10/2024
708,false,7/27/2024
709,false,2/19/2025
710,true,9/13/2024
711,true,10/13/2024
712,true,2/6/2025
713,true,4/26/2024
714,true,11/8/2024
715,true,3/24/2024
716,false,4/24/2024
717,false,6/11/2024
718,true,12/6/2024
719,true,2/16/2025
720,true,2/8/2025
721,true,7/29/2024
722,true,5/10/2024
723,false,7/12/2024
724,false,11/6/2024
725,false,4/5/2024
726,false,11/14/2024
727,true,6/4/2024
728,false,3/6/2024
729,false,12/15/2024
730,false,7/11/2024
731,false,9/21/2024
732,true,7/14/2024
733,false,9/24/2024
734,false,2/28/2025
735,true,1/12/2025
736,false,6/25/2024
737,false,10/17/2024
738,false,12/9/2024
739,true,1/14/2025
740,false,4/13/2024
741,true,4/10/2024
742,false,4/30/2024
743,true,12/26/2024
744,true,4/30/2024
745,false,3/17/2024
746,false,5/24/2024
747,false,7/30/2024
748,true,8/5/2024
749,true,1/15/2025
750,false,4/25/2024
751,false,9/7/2024
752,false,9/24/2024
753,false,10/14/2024
754,false,8/15/2024
755,true,12/15/2024
756,false,2/17/2025
757,true,7/1/2024
758,true,2/22/2025
759,false,1/3/2025
760,true,5/9/2024
761,false,12/22/2024
762,true,4/11/2024
763,false,12/10/2024
764,true,7/30/2024
765,false,8/6/2024
766,false,10/27/2024
767,false,11/21/2024
768,false,3/5/2024
769,true,1/16/2025
770,false,2/16/2025
771,true,9/19/2024
772,true,11/18/2024
773,false,9/6/2024
774,false,7/13/2024
775,true,7/10/2024
776,false,4/23/2024
777,false,1/9/2025
778,false,4/4/2024
779,true,10/10/2024
780,true,4/28/2024
781,true,12/14/2024
782,true,9/15/2024
783,true,1/20/2025
784,true,1/13/2025
785,true,12/15/2024
786,true,5/21/2024
787,false,11/17/2024
788,false,7/6/2024
789,true,4/21/2024
790,false,10/20/2024
791,true,5/26/2024
792,true,1/7/2025
793,true,6/1/2024
794,false,2/7/2025
795,true,8/16/2024
796,false,4/19/2024
797,true,5/12/2024
798,true,7/23/2024
799,true,11/3/2024
800,true,8/3/2024
801,false,1/22/2025
802,false,7/20/2024
803,true,2/9/2025
804,true,2/12/2025
805,true,5/5/2024
806,true,8/5/2024
807,true,3/5/2024
808,false,5/14/2024
809,false,4/12/2024
810,false,8/8/2024
811,false,10/15/2024
812,false,2/6/2025
813,false,10/8/2024
814,true,7/6/2024
815,false,4/11/2024
816,false,9/11/2024
817,false,8/9/2024
818,true,10/6/2024
819,true,7/1/2024
820,false,9/3/2024
821,true,3/4/2024
822,false,3/4/2024
823,false,10/16/2024
824,true,5/4/2024
825,true,4/14/2024
826,true,3/7/2024
827,false,4/23/2024
828,false,1/5/2025
829,false,3/2/2025
830,true,12/22/2024
831,false,12/3/2024
832,true,12/14/2024
833,false,1/1/2025
834,true,5/27/2024
835,false,2/23/2025
836,true,2/24/2025
837,true,11/13/2024
838,true,2/2/2025
839,true,12/19/2024
840,true,2/26/2025
841,false,9/3/2024
842,true,12/18/2024
843,false,12/3/2024
844,true,7/11/2024
845,true,3/13/2024
846,false,6/24/2024
847,true,5/3/2024
848,false,12/2/2024
849,true,9/19/2024
850,true,5/14/2024
851,false,9/30/2024
852,false,9/24/2024
853,false,6/14/2024
854,false,10/11/2024
855,false,5/8/2024
856,true,2/20/2025
857,true,9/8/2024
858,true,3/26/2024
859,false,5/29/2024
860,true,12/21/2024
861,true,7/18/2024
862,false,4/2/2024
863,false,3/4/2024
864,true,12/17/2024
865,true,5/24/2024
866,true,2/6/2025
867,false,11/15/2024
868,true,9/26/2024
869,false,12/13/2024
870,false,4/11/2024
871,true,9/21/2024
872,true,4/18/2024
873,false,5/1/2024
874,false,5/31/2024
875,false,10/23/2024
876,false,9/21/2024
877,true,1/19/2025
878,false,7/6/2024
879,false,4/21/2024
880,true,5/7/2024
881,false,10/10/2024
882,false,3/20/2024
883,false,11/21/2024
884,true,5/10/2024
885,false,8/31/2024
886,false,7/2/2024
887,true,5/5/2024
888,false,3/23/2024
889,false,1/30/2025
890,true,10/24/2024
891,false,8/13/2024
892,true,6/19/2024
893,false,3/15/2024
894,true,10/11/2024
895,false,9/15/2024
896,false,2/20/2025
897,false,7/8/2024
898,true,5/4/2024
899,false,3/2/2025
900,false,11/26/2024
901,false,11/25/2024
902,true,4/8/2024
903,true,8/7/2024
904,true,5/22/2024
905,true,1/30/2025
906,true,4/10/2024
907,false,11/19/2024
908,true,7/2/2024
909,true,6/5/2024
910,true,3/17/2024
911,true,10/11/2024
912,false,7/28/2024
913,true,11/19/2024
914,true,8/21/2024
915,false,12/15/2024
916,true,4/13/2024
917,true,7/28/2024
918,true,9/8/2024
919,true,3/21/2024
920,false,8/23/2024
921,true,6/14/2024
922,true,2/2/2025
923,true,1/28/2025
924,false,10/27/2024
925,false,7/17/2024
926,true,12/7/2024
927,false,2/15/2025
928,false,1/21/2025
929,false,3/6/2024
930,false,10/4/2024
931,true,12/10/2024
932,true,9/17/2024
933,false,8/17/2024
934,false,7/28/2024
935,true,7/3/2024
936,true,2/13/2025
937,true,10/4/2024
938,false,3/30/2024
939,true,1/15/2025
940,true,3/23/2024
941,false,4/26/2024
942,false,4/15/2024
943,true,1/30/2025
944,true,11/3/2024
945,false,3/4/2024
946,false,4/1/2024
947,true,9/6/2024
948,true,2/5/2025
949,false,2/3/2025
950,true,1/1/2025
951,false,10/19/2024
952,true,8/8/2024
953,true,6/27/2024
954,false,11/17/2024
955,true,9/13/2024
956,false,8/26/2024
957,false,9/18/2024
958,true,5/18/2024
959,true,12/7/2024
960,false,3/17/2024
961,false,6/10/2024
962,true,12/14/2024
963,false,5/29/2024
964,false,1/1/2025
965,true,7/25/2024
966,false,2/17/2025
967,false,12/5/2024
968,false,2/16/2025
969,true,8/21/2024
970,false,10/28/2024
971,true,6/18/2024
972,true,10/3/2024
973,false,1/25/2025
974,true,11/2/2024
975,false,12/13/2024
976,false,3/17/2024
977,true,7/18/2024
978,true,5/5/2024
979,true,9/19/2024
980,false,7/2/2024
981,false,5/22/2024
982,false,5/31/2024
983,true,3/7/2024
984,false,1/18/2025
985,true,3/17/2024
986,true,12/6/2024
987,true,9/10/2024
988,false,5/19/2024
989,false,3/24/2024
990,false,8/1/2024
991,true,4/24/2024
992,false,3/20/2024
993,true,7/2/2024
994,false,3/16/2024
995,false,6/12/2024
996,true,11/24/2024
997,false,6/28/2024
998,false,8/30/2024
999,true,4/16/2024
1000,false,8/28/2024
